resume_hash,title,city,updated_at,salary_amount,salary_currency,employment_type,relocation,age_bucket,total_experience_months,job_count,avg_job_duration_months,median_job_duration_months,max_job_duration_months,min_job_duration_months,short_job_share_6m,short_job_share_12m,current_job_duration_months,career_span_months,avg_gap_months,max_gap_months,education_count,courses_count,languages_count,skills_count,about_length,has_salary,has_about
2a685ed333effc465bf6,Директор по снабжению группы компаний (нефтегазохимия),Москва,2026-05-01,1.0,,,,,,0,,,,,,,,,0.0,0,1,0,0,0,0,1,0
07a21c5b6546533cb621,Бухгалтер,Брест,2026-05-18,18.0,,Полная занятость,Переезд невозможен,35-44,21.0,1,21.0,21.0,21.0,21.0,0.0,0.0,,21.0,0.0,0,2,0,0,0,0,1,0
c275ce3f24d318841ed6,Бухгалтер,Новороссийск,2026-05-06,70000.0,RUB,Полная занятость,Переезд невозможен,45-54,198.0,2,99.0,99.0,194.0,4.0,0.5,0.5,,194.0,0.0,0,2,2,0,0,78,1,1
77fc77971ce040814ec2,Ведущий экономист,Тюмень,2026-05-20,90000.0,RUB,Полная занятость,Переезд невозможен,35-44,96.0,1,96.0,96.0,96.0,96.0,0.0,0.0,96.0,96.0,0.0,0,1,0,0,0,0,1,0
e559602b214852743585,Главный инженер проекта,Москва,2026-05-18,300000.0,RUB,Полная занятость,Переезд невозможен,45-54,182.0,9,20.22222222222222,12.0,72.0,4.0,0.3333333333333333,0.4444444444444444,5.0,187.0,0.625,3,1,2,1,0,379,1,1
ac7108601a11a49b834e,Фрондент разработчик,Ташкент,2026-04-24,50000.0,RUB,Полная занятость,Переезд невозможен,18-24,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.0,0,1,1,1,0,377,1,1
8a66a7074122629bec88,Продюсер/Lead Content Strategist (Performance & AI / Content Factory),Москва,2026-05-20,20.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
7047ca2c426e301577ee,Психолог,Йошкар-Ола,2026-05-18,50000.0,RUB,Полная занятость,,45-54,75.0,2,37.5,37.5,48.0,27.0,0.0,0.0,,137.0,62.0,62,1,5,0,0,1691,1,1
4436b2d1f605e2f435e4,Бухгалтер,Медногорск,2026-05-05,5.0,,Полная занятость,,45-54,357.0,2,178.5,178.5,245.0,112.0,0.0,0.0,245.0,245.0,0.0,0,2,0,0,0,0,1,0
136b15157f94d417249e,Помощник юриста,Ташкент,2026-05-20,20.0,,Полная занятость,,18-24,,0,,,,,,,,,0.0,0,1,0,2,0,0,1,0
1041391fd5df2c4cb9f8,Руководитель проектного офиса( Русатом Оверсиз ),Москва,2026-05-20,20.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
4d4fcd4b58fc9223dcc8,Стюардесса,"Москва , м. Кунцевская",2026-05-20,150000.0,RUB,Полная занятость,,25-34,16.0,1,16.0,16.0,16.0,16.0,0.0,0.0,16.0,16.0,0.0,0,1,0,1,0,0,1,0
1f46c9dbefd0db94dbdf,Junior Frontend-разработчик / Стажёр Frontend,Новосибирск,2026-05-20,50000.0,RUB,Полная занятость,Переезд невозможен,25-34,31.0,2,15.5,15.5,18.0,13.0,0.0,0.0,,59.0,28.0,28,2,0,1,0,303,1,1
5230cd566832447fccd7,Преподаватель индивидуальных онлайн-занятий по Математике,Бишкек,2026-05-20,20.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
1f857caec0ac7c4726f9,Генеральный менеджер,Казань,2026-05-18,200000.0,RUB,Полная занятость,Переезд невозможен,25-34,198.0,8,24.75,23.0,36.0,16.0,0.0,0.0,,156.0,0.0,0,2,6,3,0,505,1,1
b056fc499a119e5a466b,Водитель международник,Минск,2026-05-18,18.0,,Полная занятость,Переезд невозможен,35-44,155.0,1,155.0,155.0,155.0,155.0,0.0,0.0,155.0,155.0,0.0,0,1,0,0,0,0,1,0
ed5e6bc363b9a87ad22a,Менеджер по подбору персонала,Атырау,2026-05-20,20.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
dda0ff3ab58d47ab2d38,Косметолог,Бишкек,2026-05-20,50000.0,RUB,Частичная занятость,Переезд невозможен,18-24,25.0,1,25.0,25.0,25.0,25.0,0.0,0.0,,25.0,0.0,0,3,0,0,0,128,1,1
18da348b4e1375898b30,"Брокер, трейдер, управляющая активами",Москва,2026-05-06,150000.0,RUB,Полная занятость,Переезд невозможен,55-64,108.0,2,54.0,54.0,68.0,40.0,0.0,0.0,,108.0,0.0,0,1,3,0,0,820,1,1
ed259f18a11ecda2d88c,Менеджер администратор бухгалтер,Саки,2026-05-18,55000.0,RUB,Полная занятость,Переезд невозможен,35-44,98.0,1,98.0,98.0,98.0,98.0,0.0,0.0,98.0,98.0,0.0,0,2,0,0,0,0,1,0
5e653dd30bb28fe3e0a0,"Начальник (менеджер, специалист) по качеству и стандартизации",Москва,2026-05-18,150000.0,RUB,Полная занятость,,45-54,276.0,4,69.0,75.5,122.0,3.0,0.25,0.25,,285.0,3.0,7,1,6,0,0,123,1,1
195153bdf020764d109b,Руководитель IT-проектов / Technical Project Manager,Москва,2026-05-20,300000.0,RUB,Полная занятость,Переезд невозможен,25-34,68.0,2,34.0,34.0,36.0,32.0,0.0,0.0,,68.0,0.0,0,2,0,0,0,0,1,0
6b492cfcbf4a393eb8de,Руководитель отдела персонала/Специалист по кадрам/Директор по персоналу,Братск,2026-04-21,21.0,,Полная занятость,,35-44,78.0,3,26.0,15.0,55.0,8.0,0.0,0.3333333333333333,55.0,79.0,0.5,1,1,5,0,0,278,1,1
be5d5655f309e13bc3f0,Менеджер по клинингу( CRISTANVAL ),Москва,2026-05-20,20.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
a6661b9cc08b891b6f72,"Видеомонтажер, 3D-аниматор",Возможен переезд в другой город,2026-05-19,70000.0,RUB,Удаленная работа,,45-54,388.0,9,43.111111111111114,55.0,79.0,4.0,0.2222222222222222,0.2222222222222222,4.0,332.0,0.875,4,1,0,2,0,538,1,1
d5a40b997dcd4df2d8ae,Продавец-консультант,Кобрин,2026-05-20,20.0,,Полная занятость,Переезд невозможен,18-24,,0,,,,,,,,,0.0,0,1,0,0,0,0,1,0
456170658da72644fba8,"Официант,Продввец,Администратор",Батуми,2026-05-20,100000.0,RUB,Сменный график,,35-44,58.0,1,58.0,58.0,58.0,58.0,0.0,0.0,,58.0,0.0,0,1,0,0,0,0,1,0
843cce7606c681e68e09,"Эколог, охрана труда и техника береги",Балыкчы,2026-05-20,20.0,,Вахтовый метод,,25-34,6.0,1,6.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,0.0,0,1,0,0,0,0,1,0
daa637bd28437014a14c,Контент-менеджер,Петрозаводск,2026-05-18,50000.0,RUB,Удаленная работа,Переезд невозможен,25-34,24.0,1,24.0,24.0,24.0,24.0,0.0,0.0,,24.0,0.0,0,1,2,1,0,243,1,1
2830ebd2ac6161c5a93c,Начальник отдела,Москва,2026-05-18,80000.0,RUB,Полная занятость,,55-64,194.0,11,17.636363636363637,12.0,45.0,3.0,0.18181818181818182,0.45454545454545453,,261.0,6.7,50,2,6,2,0,439,1,1
0b856f81f0e1493b920d,Трейдер по закупкам и продажам нефтепродуктов,Москва,2026-05-18,80000.0,RUB,Полная занятость,,55-64,194.0,11,17.636363636363637,12.0,45.0,3.0,0.18181818181818182,0.45454545454545453,,261.0,6.7,50,2,6,2,0,439,1,1
577a1fc382c8d6f80de0,Специалист по тендерам и закупкам,Москва,2026-05-18,80000.0,RUB,Полная занятость,,55-64,194.0,11,17.636363636363637,12.0,45.0,3.0,0.18181818181818182,0.45454545454545453,,261.0,6.7,50,2,6,2,0,439,1,1
bc2dbd5a7bf62b470195,Начальник отдела гарантий,Москва,2026-05-18,80000.0,RUB,Полная занятость,,55-64,194.0,11,17.636363636363637,12.0,45.0,3.0,0.18181818181818182,0.45454545454545453,,261.0,6.7,50,2,6,2,0,439,1,1
25439580afcb7473abce,Начальник отдела сопровождения кредитования,Москва,2026-05-18,80000.0,RUB,Полная занятость,,55-64,194.0,11,17.636363636363637,12.0,45.0,3.0,0.18181818181818182,0.45454545454545453,,261.0,6.7,50,2,6,2,0,439,1,1
74e2fb3923533e7d0b3b,Оператор по сверке цен,Керчь,2026-05-20,55000.0,RUB,Удаленная работа,Переезд невозможен,18-24,,0,,,,,,,,,0.0,0,1,0,0,0,0,1,0
23fa49d50af0218ae152,"Корпоративный тренер, Менеджер по обучению, Психолог, Преподаватель",Краснодар,2026-05-18,90000.0,RUB,Полная занятость,Переезд невозможен,45-54,243.0,7,34.714285714285715,16.0,129.0,5.0,0.14285714285714285,0.42857142857142855,,272.0,4.833333333333333,23,2,5,0,0,159,1,1
5497321d0f7406b82ec1,Финансовый аналитик,Казань,2026-05-18,60900.0,RUB,Полная занятость,Переезд невозможен,35-44,138.0,4,34.5,13.5,105.0,6.0,0.0,0.5,,160.0,7.333333333333333,20,1,2,2,0,0,1,0
0a0cc8d8657367255aa5,Начальник отдела продаж,Тольятти,2026-05-06,100000.0,RUB,Полная занятость,Переезд невозможен,55-64,142.0,4,35.5,38.0,58.0,8.0,0.0,0.25,51.0,245.0,34.333333333333336,103,1,6,0,0,0,1,0
8c91ac52fca6be2b3264,Продавец,Лунинец,2026-05-20,3200.0,RUB,Полная занятость,Переезд невозможен,35-44,,0,,,,,,,,,0.0,0,2,0,0,0,0,1,0
055445da9da2324c1685,Учитель русского языка и литературы( ГУО Средняя школа № 83 ),Минск,2026-05-20,83.0,,,,,,0,,,,,,,,,0.0,0,0,0,0,0,0,1,0
71684d146c2afc290df1,Прораб,Москва,2026-05-20,150000.0,RUB,Полная занятость,Переезд невозможен,25-34,27.0,1,27.0,27.0,27.0,27.0,0.0,0.0,,27.0,0.0,0,1,0,0,0,0,1,0
5fcabdf03bf2ec5b11c9,"Специалист по налогам, налоговый консультант","Санкт-Петербург , м. Ленинский проспект",2026-05-18,100000.0,RUB,Полная занятость,Переезд невозможен,45-54,337.0,8,42.125,30.5,104.0,19.0,0.0,0.0,,305.0,0.42857142857142855,1,2,0,0,0,245,1,1
4b5f9330db0ed82449f2,Химик,Казань,2026-05-20,60000.0,RUB,Полная занятость,Переезд невозможен,45-54,255.0,1,255.0,255.0,255.0,255.0,0.0,0.0,,255.0,0.0,0,1,0,0,0,0,1,0
06c7d3d31a61f6045d21,Инженер ПТО,Стерлитамак,2026-05-20,150000.0,RUB,Полная занятость,Переезд невозможен,35-44,119.0,2,59.5,59.5,64.0,55.0,0.0,0.0,55.0,119.0,0.0,0,2,3,1,0,240,1,1
d9d0270bfd0284eff965,Технический директор / Директор по качеству / Начальник конструкторского отдела,Нижний Новгород,2026-05-20,150000.0,RUB,Полная занятость,Переезд невозможен,45-54,240.0,3,80.0,36.0,183.0,21.0,0.0,0.0,,240.0,0.0,0,1,0,1,0,414,1,1
76e8db6627a6f50a5b52,Инженер-строитель и юрист.,Курск,2026-05-20,180000.0,RUB,Удаленная работа,,45-54,97.0,1,97.0,97.0,97.0,97.0,0.0,0.0,97.0,97.0,0.0,0,2,0,0,0,0,1,0
5fd97c06d3fe154d6637,Менеджер,Оренбург,2026-05-17,50000.0,RUB,Полная занятость,Переезд невозможен,45-54,235.0,1,235.0,235.0,235.0,235.0,0.0,0.0,,235.0,0.0,0,1,2,1,0,114,1,1
d65f8ff8dfef669f82da,Офис-менеджер,Оренбург,2026-05-17,50000.0,RUB,Полная занятость,Переезд невозможен,45-54,235.0,1,235.0,235.0,235.0,235.0,0.0,0.0,,235.0,0.0,0,1,0,0,0,381,1,1
eadd97e794da6cecc19c,Оператор call-центра,Оренбург,2026-05-17,60000.0,RUB,Полная занятость,Переезд невозможен,45-54,235.0,1,235.0,235.0,235.0,235.0,0.0,0.0,,235.0,0.0,0,1,1,1,0,91,1,1
560e92400f6477c89e9d,Методист / Специалист экологического просвещения,Москва,2026-05-02,85000.0,RUB,Полная занятость,Переезд невозможен,45-54,59.0,2,29.5,29.5,34.0,25.0,0.0,0.0,,65.0,6.0,6,1,5,0,0,0,1,0
2afde5e4be8f753c965e,Менеджер,Щелково,2026-05-20,50000.0,RUB,Полная занятость,Переезд невозможен,35-44,184.0,1,184.0,184.0,184.0,184.0,0.0,0.0,184.0,184.0,0.0,0,1,0,0,0,0,1,0
7e0b005fb66129bb90c5,Финансовый директор,Москва,2026-05-18,18.0,,Полная занятость,Переезд невозможен,35-44,152.0,5,30.4,30.0,50.0,16.0,0.0,0.0,,153.0,0.25,1,2,0,1,0,0,1,0
